colour	x	y	showSelectedlegendcolour	fill
#C49A00	1970	24279	Europe & Central Asia	#C49A00
#C49A00	1971	25560	Europe & Central Asia	#C49A00
#C49A00	1972	26892	Europe & Central Asia	#C49A00
#C49A00	1973	28231	Europe & Central Asia	#C49A00
#C49A00	1974	29514	Europe & Central Asia	#C49A00
#C49A00	1975	30706	Europe & Central Asia	#C49A00
#00C094	1970	231529	Middle East & North Africa	#00C094
#00C094	1971	272211	Middle East & North Africa	#00C094
#00C094	1972	322439	Middle East & North Africa	#00C094
#00C094	1973	382599	Middle East & North Africa	#00C094
#00C094	1974	452848	Middle East & North Africa	#00C094
#00C094	1975	532742	Middle East & North Africa	#00C094
#A58AFF	1970	11015621	South Asia	#A58AFF
#A58AFF	1971	11323446	South Asia	#A58AFF
#A58AFF	1972	11644377	South Asia	#A58AFF
#A58AFF	1973	11966352	South Asia	#A58AFF
#A58AFF	1974	12273589	South Asia	#A58AFF
#A58AFF	1975	12551790	South Asia	#A58AFF
#53B400	1970	65369	Latin America & Caribbean	#53B400
#53B400	1971	66338	Latin America & Caribbean	#53B400
#53B400	1972	67205	Latin America & Caribbean	#53B400
#53B400	1973	67972	Latin America & Caribbean	#53B400
#53B400	1974	68655	Latin America & Caribbean	#53B400
#53B400	1975	69253	Latin America & Caribbean	#53B400
#C49A00	1970	2138966	Europe & Central Asia	#C49A00
#C49A00	1971	2194588	Europe & Central Asia	#C49A00
#C49A00	1972	2251320	Europe & Central Asia	#C49A00
#C49A00	1973	2309029	Europe & Central Asia	#C49A00
#C49A00	1974	2367499	Europe & Central Asia	#C49A00
#C49A00	1975	2426592	Europe & Central Asia	#C49A00
#C49A00	1970	2518408	Europe & Central Asia	#C49A00
#C49A00	1971	2580894	Europe & Central Asia	#C49A00
#C49A00	1972	2643464	Europe & Central Asia	#C49A00
#C49A00	1973	2705584	Europe & Central Asia	#C49A00
#C49A00	1974	2766495	Europe & Central Asia	#C49A00
#C49A00	1975	2825650	Europe & Central Asia	#C49A00
#FB61D7	1970	5928087	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	6049214	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	6180863	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	6323057	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	6475333	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	6637628	Sub-Saharan Africa	#FB61D7
#53B400	1970	23978532	Latin America & Caribbean	#53B400
#53B400	1971	24370660	Latin America & Caribbean	#53B400
#53B400	1972	24785830	Latin America & Caribbean	#53B400
#53B400	1973	25215328	Latin America & Caribbean	#53B400
#53B400	1974	25646533	Latin America & Caribbean	#53B400
#53B400	1975	26070443	Latin America & Caribbean	#53B400
#F8766D	1970	27292	East Asia & Pacific	#F8766D
#F8766D	1971	27916	East Asia & Pacific	#F8766D
#F8766D	1972	28490	East Asia & Pacific	#F8766D
#F8766D	1973	29014	East Asia & Pacific	#F8766D
#F8766D	1974	29491	East Asia & Pacific	#F8766D
#F8766D	1975	29932	East Asia & Pacific	#F8766D
#C49A00	1970	7467086	Europe & Central Asia	#C49A00
#C49A00	1971	7500482	Europe & Central Asia	#C49A00
#C49A00	1972	7544201	Europe & Central Asia	#C49A00
#C49A00	1973	7586115	Europe & Central Asia	#C49A00
#C49A00	1974	7599038	Europe & Central Asia	#C49A00
#C49A00	1975	7578903	Europe & Central Asia	#C49A00
#F8766D	1970	12507000	East Asia & Pacific	#F8766D
#F8766D	1971	12937000	East Asia & Pacific	#F8766D
#F8766D	1972	13177000	East Asia & Pacific	#F8766D
#F8766D	1973	13380000	East Asia & Pacific	#F8766D
#F8766D	1974	13723000	East Asia & Pacific	#F8766D
#F8766D	1975	13893000	East Asia & Pacific	#F8766D
#53B400	1970	59065	Latin America & Caribbean	#53B400
#53B400	1971	59438	Latin America & Caribbean	#53B400
#53B400	1972	59849	Latin America & Caribbean	#53B400
#53B400	1973	60239	Latin America & Caribbean	#53B400
#53B400	1974	60525	Latin America & Caribbean	#53B400
#53B400	1975	60655	Latin America & Caribbean	#53B400
#C49A00	1970	5178160	Europe & Central Asia	#C49A00
#C49A00	1971	5287272	Europe & Central Asia	#C49A00
#C49A00	1972	5393176	Europe & Central Asia	#C49A00
#C49A00	1973	5496061	Europe & Central Asia	#C49A00
#C49A00	1974	5596160	Europe & Central Asia	#C49A00
#C49A00	1975	5693796	Europe & Central Asia	#C49A00
#C49A00	1970	3719459	Europe & Central Asia	#C49A00
#C49A00	1971	3757982	Europe & Central Asia	#C49A00
#C49A00	1972	3799098	Europe & Central Asia	#C49A00
#C49A00	1973	3841440	Europe & Central Asia	#C49A00
#C49A00	1974	3882935	Europe & Central Asia	#C49A00
#C49A00	1975	3922171	Europe & Central Asia	#C49A00
#53B400	1970	238616	Latin America & Caribbean	#53B400
#53B400	1971	239864	Latin America & Caribbean	#53B400
#53B400	1972	241367	Latin America & Caribbean	#53B400
#53B400	1973	242971	Latin America & Caribbean	#53B400
#53B400	1974	244453	Latin America & Caribbean	#53B400
#53B400	1975	245663	Latin America & Caribbean	#53B400
#A58AFF	1970	66308862	South Asia	#A58AFF
#A58AFF	1971	67627868	South Asia	#A58AFF
#A58AFF	1972	68730070	South Asia	#A58AFF
#A58AFF	1973	69751017	South Asia	#A58AFF
#A58AFF	1974	70883201	South Asia	#A58AFF
#A58AFF	1975	72265173	South Asia	#A58AFF
#C49A00	1970	9655549	Europe & Central Asia	#C49A00
#C49A00	1971	9673162	Europe & Central Asia	#C49A00
#C49A00	1972	9711115	Europe & Central Asia	#C49A00
#C49A00	1973	9741720	Europe & Central Asia	#C49A00
#C49A00	1974	9772419	Europe & Central Asia	#C49A00
#C49A00	1975	9800700	Europe & Central Asia	#C49A00
#FB61D7	1970	5624597	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	5723379	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	5825171	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	5930487	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	6040044	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	6154548	Sub-Saharan Africa	#FB61D7
#C49A00	1970	8489574	Europe & Central Asia	#C49A00
#C49A00	1971	8536395	Europe & Central Asia	#C49A00
#C49A00	1972	8576200	Europe & Central Asia	#C49A00
#C49A00	1973	8620967	Europe & Central Asia	#C49A00
#C49A00	1974	8678745	Europe & Central Asia	#C49A00
#C49A00	1975	8720742	Europe & Central Asia	#C49A00
#00C094	1970	213102	Middle East & North Africa	#00C094
#00C094	1971	220808	Middle East & North Africa	#00C094
#00C094	1972	229588	Middle East & North Africa	#00C094
#00C094	1973	239860	Middle East & North Africa	#00C094
#00C094	1974	252139	Middle East & North Africa	#00C094
#00C094	1975	266686	Middle East & North Africa	#00C094
#FB61D7	1970	3457113	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	3507593	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	3547335	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	3582950	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	3623852	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	3676991	Sub-Saharan Africa	#FB61D7
#FB61D7	1970	2907769	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	2971941	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	3039300	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	3110074	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	3184547	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	3262959	Sub-Saharan Africa	#FB61D7
#00B6EB	1970	55000	North America	#00B6EB
#00B6EB	1971	54600	North America	#00B6EB
#00B6EB	1972	54200	North America	#00B6EB
#00B6EB	1973	53800	North America	#00B6EB
#00B6EB	1974	53400	North America	#00B6EB
#00B6EB	1975	53000	North America	#00B6EB
#F8766D	1970	129719	East Asia & Pacific	#F8766D
#F8766D	1971	135707	East Asia & Pacific	#F8766D
#F8766D	1972	141827	East Asia & Pacific	#F8766D
#F8766D	1973	148058	East Asia & Pacific	#F8766D
#F8766D	1974	154387	East Asia & Pacific	#F8766D
#F8766D	1975	160791	East Asia & Pacific	#F8766D
#53B400	1970	4217248	Latin America & Caribbean	#53B400
#53B400	1971	4321324	Latin America & Caribbean	#53B400
#53B400	1972	4429194	Latin America & Caribbean	#53B400
#53B400	1973	4540197	Latin America & Caribbean	#53B400
#53B400	1974	4653409	Latin America & Caribbean	#53B400
#53B400	1975	4768177	Latin America & Caribbean	#53B400
#53B400	1970	96060361	Latin America & Caribbean	#53B400
#53B400	1971	98427874	Latin America & Caribbean	#53B400
#53B400	1972	100812672	Latin America & Caribbean	#53B400
#53B400	1973	103228641	Latin America & Caribbean	#53B400
#53B400	1974	105693434	Latin America & Caribbean	#53B400
#53B400	1975	108219657	Latin America & Caribbean	#53B400
#53B400	1970	169356	Latin America & Caribbean	#53B400
#53B400	1971	173867	Latin America & Caribbean	#53B400
#53B400	1972	177844	Latin America & Caribbean	#53B400
#53B400	1973	181489	Latin America & Caribbean	#53B400
#53B400	1974	185097	Latin America & Caribbean	#53B400
#53B400	1975	188882	Latin America & Caribbean	#53B400
#A58AFF	1970	291555	South Asia	#A58AFF
#A58AFF	1971	301758	South Asia	#A58AFF
#A58AFF	1972	312823	South Asia	#A58AFF
#A58AFF	1973	324583	South Asia	#A58AFF
#A58AFF	1974	336802	South Asia	#A58AFF
#A58AFF	1975	349280	South Asia	#A58AFF
#FB61D7	1970	693176	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	716052	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	740118	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	765685	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	793164	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	822806	Sub-Saharan Africa	#FB61D7
#C49A00	1970	9040000	Europe & Central Asia	#C49A00
#C49A00	1971	9115576	Europe & Central Asia	#C49A00
#C49A00	1972	9188968	Europe & Central Asia	#C49A00
#C49A00	1973	9257272	Europe & Central Asia	#C49A00
#C49A00	1974	9317584	Europe & Central Asia	#C49A00
#C49A00	1975	9367000	Europe & Central Asia	#C49A00
#53B400	1970	122179	Latin America & Caribbean	#53B400
#53B400	1971	124792	Latin America & Caribbean	#53B400
#53B400	1972	127148	Latin America & Caribbean	#53B400
#53B400	1973	129294	Latin America & Caribbean	#53B400
#53B400	1974	131306	Latin America & Caribbean	#53B400
#53B400	1975	133261	Latin America & Caribbean	#53B400
#00B6EB	1970	21324000	North America	#00B6EB
#00B6EB	1971	21645535.1670506	North America	#00B6EB
#00B6EB	1972	21993630.7937617	North America	#00B6EB
#00B6EB	1973	22369407.5086437	North America	#00B6EB
#00B6EB	1974	22774087.2759336	North America	#00B6EB
#00B6EB	1975	23209000	North America	#00B6EB
#FB61D7	1970	20009902	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	20563258	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	21121467	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	21691346	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	22282713	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	22902275	Sub-Saharan Africa	#FB61D7
#FB61D7	1970	1828710	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	1864745	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	1900665	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	1937323	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	1975917	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	2017379	Sub-Saharan Africa	#FB61D7
#FB61D7	1970	1335090	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	1375876	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	1418556	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	1462767	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	1508000	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	1553903	Sub-Saharan Africa	#FB61D7
#C49A00	1970	6180877	Europe & Central Asia	#C49A00
#C49A00	1971	6213399	Europe & Central Asia	#C49A00
#C49A00	1972	6260956	Europe & Central Asia	#C49A00
#C49A00	1973	6307347	Europe & Central Asia	#C49A00
#C49A00	1974	6341405	Europe & Central Asia	#C49A00
#C49A00	1975	6338632	Europe & Central Asia	#C49A00
#FB61D7	1970	5241914	Sub-Saharan Africa	#FB61D7
#FB61D7	1971	5487594	Sub-Saharan Africa	#FB61D7
#FB61D7	1972	5747633	Sub-Saharan Africa	#FB61D7
#FB61D7	1973	6021405	Sub-Saharan Africa	#FB61D7
#FB61D7	1974	6307936	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	6606395	Sub-Saharan Africa	#FB61D7
#53B400	1970	9578923	Latin America & Caribbean	#53B400
#53B400	1971	9755352	Latin America & Caribbean	#53B400
