colour	x	y	showSelectedlegendcolour	PANEL	fill
#00C094	66.1853902439024	6.009	Middle East & North Africa	1	#00C094
#A58AFF	37.2571219512195	7.692	South Asia	1	#A58AFF
#C49A00	68.3258292682927	4.417	Europe & Central Asia	1	#C49A00
#C49A00	70.527512195122	2.745	Europe & Central Asia	1	#C49A00
#FB61D7	38.979243902439	7.185	Sub-Saharan Africa	1	#FB61D7
#53B400	68.0030731707317	3.321	Latin America & Caribbean	1	#53B400
#C49A00	71.0841463414634	1.82	Europe & Central Asia	1	#C49A00
#F8766D	72.6253658536586	2.148	East Asia & Pacific	1	#F8766D
#53B400	70.7778048780488	2.506	Latin America & Caribbean	1	#53B400
#C49A00	65.1874390243903	3.95	Europe & Central Asia	1	#C49A00
#C49A00	68.6315853658537	2.412	Europe & Central Asia	1	#C49A00
#53B400	70.3433170731707	2.393	Latin America & Caribbean	1	#53B400
#A58AFF	43.3347804878049	6.831	South Asia	1	#A58AFF
#C49A00	71.9712195121951	1.736	Europe & Central Asia	1	#C49A00
#FB61D7	43.6348048780488	6.868	Sub-Saharan Africa	1	#FB61D7
#C49A00	71.049756097561	2.23	Europe & Central Asia	1	#C49A00
#00C094	67.4118780487805	5.556	Middle East & North Africa	1	#00C094
#FB61D7	44.822	6.823	Sub-Saharan Africa	1	#FB61D7
#FB61D7	43.0276097560976	6.929	Sub-Saharan Africa	1	#FB61D7
#F8766D	69.0215853658537	5.365	East Asia & Pacific	1	#F8766D
#53B400	48.2261707317073	6.183	Latin America & Caribbean	1	#53B400
#53B400	60.488512195122	4.499	Latin America & Caribbean	1	#53B400
#53B400	66.7560487804878	3.234	Latin America & Caribbean	1	#53B400
#A58AFF	43.2459756097561	6.692	South Asia	1	#A58AFF
#FB61D7	57.5469756097561	6.477	Sub-Saharan Africa	1	#FB61D7
#C49A00	70.8328780487805	2.17	Europe & Central Asia	1	#C49A00
#53B400	68.2665609756098	6.278	Latin America & Caribbean	1	#53B400
#00B6EB	73.5217073170732	1.824	North America	1	#00B6EB
#FB61D7	45.1399756097561	6.366	Sub-Saharan Africa	1	#FB61D7
#FB61D7	45.832756097561	5.95	Sub-Saharan Africa	1	#FB61D7
#FB61D7	54.9791707317073	6.325	Sub-Saharan Africa	1	#FB61D7
#C49A00	74.6656097560976	1.598	Europe & Central Asia	1	#C49A00
#FB61D7	47.9595609756098	7.917	Sub-Saharan Africa	1	#FB61D7
#53B400	65.4621463414634	3.163	Latin America & Caribbean	1	#53B400
#FB61D7	48.7498780487805	6.366	Sub-Saharan Africa	1	#FB61D7
#F8766D	65.6915609756098	3.783	East Asia & Pacific	1	#F8766D
#53B400	62.7040243902439	4.631	Latin America & Caribbean	1	#53B400
#53B400	69.5594146341464	3.968	Latin America & Caribbean	1	#53B400
#53B400	71.9519268292683	2.844	Latin America & Caribbean	1	#53B400
#FB61D7	56.578243902439	6.771	Sub-Saharan Africa	1	#FB61D7
#C49A00	73.7115365853659	2.352	Europe & Central Asia	1	#C49A00
#C49A00	70.4146341463415	2.43	Europe & Central Asia	1	#C49A00
#C49A00	71.3867804878049	1.45	Europe & Central Asia	1	#C49A00
#00C094	45.4339268292683	6.985	Middle East & North Africa	1	#00C094
#C49A00	74.0751219512195	1.919	Europe & Central Asia	1	#C49A00
#53B400	61.0320975609756	5.193	Latin America & Caribbean	1	#53B400
#00C094	56.1955609756098	7.332	Middle East & North Africa	1	#00C094
