colour	x	y	group	showSelectedlegendcolour	PANEL
#F8766D	71.0185365853659	2.859	1	East Asia & Pacific	1
#F8766D	71.0682926829268	2.961	1	East Asia & Pacific	1
#F8766D	71.4575609756098	2.744	1	East Asia & Pacific	1
#F8766D	71.8468292682927	2.491	1	East Asia & Pacific	1
#F8766D	72.2360975609756	2.397	1	East Asia & Pacific	1
#F8766D	72.6253658536586	2.148	1	East Asia & Pacific	1
#F8766D	67.1051463414634	5.751	2	East Asia & Pacific	1
#F8766D	67.5096097560976	5.771	2	East Asia & Pacific	1
#F8766D	67.9030975609756	5.758	2	East Asia & Pacific	1
#F8766D	68.2850731707317	5.687	2	East Asia & Pacific	1
#F8766D	68.6580731707317	5.555	2	East Asia & Pacific	1
#F8766D	69.0215853658537	5.365	2	East Asia & Pacific	1
#F8766D	43.6327073170732	5.924	3	East Asia & Pacific	1
#F8766D	42.2078536585366	5.747	3	East Asia & Pacific	1
#F8766D	40.3466097560976	5.534	3	East Asia & Pacific	1
#F8766D	38.2119268292683	5.302	3	East Asia & Pacific	1
#F8766D	36.0111951219512	5.075	3	East Asia & Pacific	1
#F8766D	34.1257317073171	4.901	3	East Asia & Pacific	1
#F8766D	62.902243902439	5.512	4	East Asia & Pacific	1
#F8766D	63.8667317073171	5.24	4	East Asia & Pacific	1
#F8766D	64.5144390243902	4.91	4	East Asia & Pacific	1
#F8766D	64.9957804878049	4.544	4	East Asia & Pacific	1
#F8766D	65.3712682926829	4.16	4	East Asia & Pacific	1
#F8766D	65.6915609756098	3.783	4	East Asia & Pacific	1
#F8766D	59.900756097561	4.543	5	East Asia & Pacific	1
#F8766D	60.2468536585366	4.397	5	East Asia & Pacific	1
#F8766D	60.5824634146342	4.275	5	East Asia & Pacific	1
#F8766D	60.9075609756098	4.178	5	East Asia & Pacific	1
#F8766D	61.2226341463415	4.106	5	East Asia & Pacific	1
#F8766D	61.5300975609756	4.054	5	East Asia & Pacific	1
#F8766D	60.2612926829268	5.722	6	East Asia & Pacific	1
#F8766D	60.5771951219512	5.505	6	East Asia & Pacific	1
#F8766D	60.8628292682927	5.279	6	East Asia & Pacific	1
#F8766D	61.1305853658537	5.055	6	East Asia & Pacific	1
#F8766D	61.3984146341463	4.841	6	East Asia & Pacific	1
#F8766D	61.7008536585366	4.643	6	East Asia & Pacific	1
#F8766D	65.8673170731708	4.372	7	East Asia & Pacific	1
#F8766D	66.2754878048781	4.248	7	East Asia & Pacific	1
#F8766D	66.6707317073171	4.137	7	East Asia & Pacific	1
#F8766D	67.0530487804878	4.028	7	East Asia & Pacific	1
#F8766D	67.4224390243903	3.917	7	East Asia & Pacific	1
#F8766D	67.7789024390244	3.801	7	East Asia & Pacific	1
#F8766D	71.4524390243903	3.421	8	East Asia & Pacific	1
#F8766D	71.4585365853659	3.459	8	East Asia & Pacific	1
#F8766D	71.4560975609756	3.315	8	East Asia & Pacific	1
#F8766D	72.109756097561	3.177	8	East Asia & Pacific	1
#F8766D	72.6121951219512	2.967	8	East Asia & Pacific	1
#F8766D	73.3682926829268	2.666	8	East Asia & Pacific	1
#F8766D	51.8299756097561	5.474	9	East Asia & Pacific	1
#F8766D	52.4671463414634	5.413	9	East Asia & Pacific	1
#F8766D	53.0944390243903	5.338	9	East Asia & Pacific	1
#F8766D	53.7088048780488	5.251	9	East Asia & Pacific	1
#F8766D	54.3071707317073	5.152	9	East Asia & Pacific	1
#F8766D	54.8905365853659	5.043	9	East Asia & Pacific	1
#F8766D	71.950243902439	2.135	10	East Asia & Pacific	1
#F8766D	72.8829268292683	2.16	10	East Asia & Pacific	1
#F8766D	73.5065853658537	2.14	10	East Asia & Pacific	1
#F8766D	73.7575609756097	2.14	10	East Asia & Pacific	1
#F8766D	74.3939024390244	2.05	10	East Asia & Pacific	1
#F8766D	75.0573170731707	1.909	10	East Asia & Pacific	1
#F8766D	61.5753414634146	4.036	12	East Asia & Pacific	1
#F8766D	62.3602195121951	3.927	12	East Asia & Pacific	1
#F8766D	63.1322195121951	3.761	12	East Asia & Pacific	1
#F8766D	63.8760243902439	3.556	12	East Asia & Pacific	1
#F8766D	64.5797317073171	3.326	12	East Asia & Pacific	1
#F8766D	65.2314390243902	3.101	12	East Asia & Pacific	1
#F8766D	61.2072682926829	4.53	13	East Asia & Pacific	1
#F8766D	62.4436585365854	4.54	13	East Asia & Pacific	1
#F8766D	62.8365853658537	4.14	13	East Asia & Pacific	1
#F8766D	63.229512195122	4.1	13	East Asia & Pacific	1
#F8766D	63.5926829268293	3.81	13	East Asia & Pacific	1
#F8766D	63.9558536585366	3.47	13	East Asia & Pacific	1
#F8766D	46.0325365853659	5.974	14	East Asia & Pacific	1
#F8766D	46.2486585365854	5.979	14	East Asia & Pacific	1
#F8766D	46.4748292682927	5.99	14	East Asia & Pacific	1
#F8766D	46.7140731707317	6.006	14	East Asia & Pacific	1
#F8766D	46.9683170731707	6.029	14	East Asia & Pacific	1
#F8766D	47.2365365853659	6.059	14	East Asia & Pacific	1
#F8766D	69.6424390243902	2.166	15	East Asia & Pacific	1
