colour	x	y	label	showSelectedlegendcolour	group
#00C094	66.1853902439024	6.009	United Arab Emirates	Middle East & North Africa	4
#A58AFF	37.2571219512195	7.692	Afghanistan	South Asia	6
#C49A00	68.3258292682927	4.417	Albania	Europe & Central Asia	2
#C49A00	70.527512195122	2.745	Armenia	Europe & Central Asia	2
#FB61D7	38.979243902439	7.185	Angola	Sub-Saharan Africa	7
#53B400	68.0030731707317	3.321	Argentina	Latin America & Caribbean	3
#C49A00	71.0841463414634	1.82	Austria	Europe & Central Asia	2
#F8766D	72.6253658536586	2.148	Australia	East Asia & Pacific	1
#53B400	70.7778048780488	2.506	Aruba	Latin America & Caribbean	3
#C49A00	65.1874390243903	3.95	Azerbaijan	Europe & Central Asia	2
#C49A00	68.6315853658537	2.412	Bosnia and Herzegovina	Europe & Central Asia	2
#53B400	70.3433170731707	2.393	Barbados	Latin America & Caribbean	3
#A58AFF	43.3347804878049	6.831	Bangladesh	South Asia	6
#C49A00	71.9712195121951	1.736	Belgium	Europe & Central Asia	2
#FB61D7	43.6348048780488	6.868	Burkina Faso	Sub-Saharan Africa	7
#C49A00	71.049756097561	2.23	Bulgaria	Europe & Central Asia	2
#00C094	67.4118780487805	5.556	Bahrain	Middle East & North Africa	4
#FB61D7	44.822	6.823	Burundi	Sub-Saharan Africa	7
#FB61D7	43.0276097560976	6.929	Benin	Sub-Saharan Africa	7
#F8766D	69.0215853658537	5.365	Brunei Darussalam	East Asia & Pacific	1
#53B400	48.2261707317073	6.183	Bolivia	Latin America & Caribbean	3
#53B400	60.488512195122	4.499	Brazil	Latin America & Caribbean	3
#53B400	66.7560487804878	3.234	Bahamas, The	Latin America & Caribbean	3
#A58AFF	43.2459756097561	6.692	Bhutan	South Asia	6
#FB61D7	57.5469756097561	6.477	Botswana	Sub-Saharan Africa	7
#C49A00	70.8328780487805	2.17	Belarus	Europe & Central Asia	2
#53B400	68.2665609756098	6.278	Belize	Latin America & Caribbean	3
#00B6EB	73.5217073170732	1.824	Canada	North America	5
#FB61D7	45.1399756097561	6.366	Congo, Dem. Rep.	Sub-Saharan Africa	7
#FB61D7	45.832756097561	5.95	Central African Republic	Sub-Saharan Africa	7
#FB61D7	54.9791707317073	6.325	Congo, Rep.	Sub-Saharan Africa	7
#C49A00	74.6656097560976	1.598	Switzerland	Europe & Central Asia	2
#FB61D7	47.9595609756098	7.917	Cote d'Ivoire	Sub-Saharan Africa	7
#53B400	65.4621463414634	3.163	Chile	Latin America & Caribbean	3
#FB61D7	48.7498780487805	6.366	Cameroon	Sub-Saharan Africa	7
#F8766D	65.6915609756098	3.783	China	East Asia & Pacific	1
#53B400	62.7040243902439	4.631	Colombia	Latin America & Caribbean	3
#53B400	69.5594146341464	3.968	Costa Rica	Latin America & Caribbean	3
#53B400	71.9519268292683	2.844	Cuba	Latin America & Caribbean	3
#FB61D7	56.578243902439	6.771	Cape Verde	Sub-Saharan Africa	7
#C49A00	73.7115365853659	2.352	Cyprus	Europe & Central Asia	2
